CommitId;RefactoringType;RefactoringDetail
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollector renamed to org.junit.rules.ErrorCollectorTest.AddSingleError
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.PassesAssumptionViolatedExceptionToErrorCollector renamed to org.junit.rules.ErrorCollectorTest.AddInternalAssumptionViolatedException
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorTwice renamed to org.junit.rules.ErrorCollectorTest.CheckTwoCallablesThatThrowExceptions
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThat renamed to org.junit.rules.ErrorCollectorTest.CheckTwoMatchersThatFail
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckSucceeds renamed to org.junit.rules.ErrorCollectorTest.CheckRunnableThatThrowsNoExceptionAlthoughOneIsExpected
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckSucceedsWithAssumptionViolatedException renamed to org.junit.rules.ErrorCollectorTest.CheckCallableThatThrowsInternalAssumptionViolatedException
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckSucceedsPasses renamed to org.junit.rules.ErrorCollectorTest.CheckRunnableThatThrowsUnexpectedTypeOfException
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThrowsMatchingClass renamed to org.junit.rules.ErrorCollectorTest.CheckCallableThatThrowsAnException
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThrowsClassMismatch renamed to org.junit.rules.ErrorCollectorTest.CheckCallableThatDoesNotThrowAnException
f7d4f2835ec7dde25356d923ade0eb93f11cf1c9;Rename Class;Rename Class	org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThrowsNothingThrown renamed to org.junit.rules.ErrorCollectorTest.CheckRunnableThatThrowsExpectedTypeOfException
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrows(expectedThrowable Class<T>, runnable ThrowingRunnable) : T renamed to public assertThrows(message String, expectedThrowable Class<T>, runnable ThrowingRunnable) : T in class org.junit.Assert
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsRequiresAnExceptionToBeThrown() : void renamed to public assertThrowsRequiresAnExceptionToBeThrown() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsIncludesAnInformativeDefaultMessage() : void renamed to public assertThrowsIncludesAnInformativeDefaultMessage() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsReturnsTheSameObjectThrown() : void renamed to public assertThrowsReturnsTheSameObjectThrown() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsDetectsTypeMismatchesViaExplicitTypeHint() : void renamed to public assertThrowsDetectsTypeMismatchesViaExplicitTypeHint() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsWrapsAndPropagatesUnexpectedExceptions() : void renamed to public assertThrowsWrapsAndPropagatesUnexpectedExceptions() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsSuppliesACoherentErrorMessageUponTypeMismatch() : void renamed to public assertThrowsSuppliesACoherentErrorMessageUponTypeMismatch() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsUsesCanonicalNameUponTypeMismatch() : void renamed to public assertThrowsUsesCanonicalNameUponTypeMismatch() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsUsesNameUponTypeMismatchWithAnonymousClass() : void renamed to public assertThrowsUsesNameUponTypeMismatchWithAnonymousClass() : void in class org.junit.tests.assertion.AssertionTest
627b85abfd9c1f6c69b14f9d33fb292868fe6826;Rename Method;Rename Method	public expectThrowsUsesCanonicalNameWhenRequiredExceptionNotThrown() : void renamed to public assertThrowsUsesCanonicalNameWhenRequiredExceptionNotThrown() : void in class org.junit.tests.assertion.AssertionTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollector moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollector
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.PassesAssumptionViolatedExceptionToErrorCollector moved to org.junit.rules.ErrorCollectorTest.PassesAssumptionViolatedExceptionToErrorCollector
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorTwice moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorTwice
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckThat moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThat
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckSucceeds moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckSucceeds
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckSucceedsWithAssumptionViolatedException moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckSucceedsWithAssumptionViolatedException
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckSucceedsPasses moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckSucceedsPasses
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckThrowsMatchingClass moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThrowsMatchingClass
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckThrowsClassMismatch moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThrowsClassMismatch
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Class;Move Class	org.junit.rules.VerifierRuleTest.UsesErrorCollectorCheckThrowsNothingThrown moved to org.junit.rules.ErrorCollectorTest.UsesErrorCollectorCheckThrowsNothingThrown
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorShouldFail() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public passingAssumptionViolatedExceptionShouldResultInFailure() : void from class org.junit.rules.VerifierRuleTest to public passingAssumptionViolatedExceptionShouldResultInFailure() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorTwiceShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorTwiceShouldFail() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckThatShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckThatShouldFail() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckSucceedsShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckSucceedsShouldFail() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckSucceedsWithAssumptionViolatedExceptionShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckSucceedsWithAssumptionViolatedExceptionShouldFail() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckSucceedsShouldPass() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckSucceedsShouldPass() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckThrowsMatchingClassShouldPass() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckThrowsMatchingClassShouldPass() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckThrowsClassMismatchShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckThrowsClassMismatchShouldFail() : void from class org.junit.rules.ErrorCollectorTest
347eb809e653d8fb601b9751f7b7971341e1f5ec;Move Method;Move Method	public usedErrorCollectorCheckThrowsNothingThrownShouldFail() : void from class org.junit.rules.VerifierRuleTest to public usedErrorCollectorCheckThrowsNothingThrownShouldFail() : void from class org.junit.rules.ErrorCollectorTest
43cdf991a8c5808b07c657460815e7d8913ebb79;Rename Class;Rename Class	org.junit.rules.TestRuleTest.MethodBeforesAndAfters renamed to org.junit.rules.TestRuleTest.BeforesAndAftersAreEnclosedByRule
43cdf991a8c5808b07c657460815e7d8913ebb79;Rename Method;Rename Method	public methodBeforesAndAfters() : void renamed to public beforesAndAftersAreEnclosedByRule() : void in class org.junit.rules.TestRuleTest
aad22b88bf3332cf304da6f558152b59cdbeea2b;Extract Method;Extract Method	public collectAnnotatedFieldValues(test Object, annotationClass Class<? extends Annotation>, valueClass Class<T>, consumer MemberValueConsumer<T>) : void extracted from public getAnnotatedFieldValues(test Object, annotationClass Class<? extends Annotation>, valueClass Class<T>) : List<T> in class org.junit.runners.model.TestClass
aad22b88bf3332cf304da6f558152b59cdbeea2b;Extract Method;Extract Method	public collectAnnotatedMethodValues(test Object, annotationClass Class<? extends Annotation>, valueClass Class<T>, consumer MemberValueConsumer<T>) : void extracted from public getAnnotatedMethodValues(test Object, annotationClass Class<? extends Annotation>, valueClass Class<T>) : List<T> in class org.junit.runners.model.TestClass
bb48ff9a5440f4062abdbd2296a377b6c4e057f0;Rename Method;Rename Method	public nonPublicSuiteClassWithBeforeClassFailsWithoutRunningTests() : void renamed to public nonPublicSuiteClassWithBeforeClassPasses() : void in class org.junit.tests.running.classes.SuiteTest
