CommitId;RefactoringType;RefactoringDetail
d4bce13a443cf12da40a77c16c1e591f4f985b47;Move Method;Move Method	public barkBark(manager DogManager) : void from class org.animals.Dog to public barkBark(dog Dog) : void from class org.DogManager
9a5c33b16d07d62651ea80552e8782974c96bb8a;Move Attribute;Move Attribute	public magicNumber : int from class org.DogManager to class org.animals.Dog
9a5c33b16d07d62651ea80552e8782974c96bb8a;Move Attribute;Move Attribute	public magicNumber : int from class org.DogManager to class org.animals.Dog
9a5c33b16d07d62651ea80552e8782974c96bb8a;Move Attribute;Move Attribute	public magicNumber : int from class org.DogManager to class org.animals.Dog
0bb0526b70870d57cbac9fcc8c4a7346a4ce5879;Rename Method;Rename Method	public bark() : void renamed to public barkBark() : void in class org.animals.Dog
1328d7873efe6caaffaf635424e19a4bb5e786a8;Extract Interface;Extract Interface	org.felines.AnimalSuper from classes [org.felines.Animal]
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Attribute;Push Down Attribute	protected age : int from class org.reptile.AnimalMarilho to class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Attribute;Push Down Attribute	protected name : int from class org.reptile.AnimalMarilho to class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Attribute;Push Down Attribute	protected age : int from class org.reptile.AnimalMarilho to class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Attribute;Push Down Attribute	protected name : int from class org.reptile.AnimalMarilho to class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Attribute;Push Down Attribute	protected age : int from class org.reptile.AnimalMarilho to class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Attribute;Push Down Attribute	protected name : int from class org.reptile.AnimalMarilho to class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Method;Push Down Method	public getName() : int from class org.reptile.AnimalMarilho to public getName() : int from class org.reptile.Reptile
0a46ed5c56c8b1576dfc92f3ec5bc2f0ea68aafe;Push Down Method;Push Down Method	public setName(name int) : void from class org.reptile.AnimalMarilho to public setName(name int) : void from class org.reptile.Reptile
638f37ca6b4dcdbb6a4735f93e37445aeef79749;Push Down Method;Push Down Method	public equals(obj Object) : boolean from class org.reptile.Reptile to public equals(obj Object) : boolean from class org.reptile.TurtleMarinha
638f37ca6b4dcdbb6a4735f93e37445aeef79749;Push Down Method;Push Down Method	public equals(obj Object) : boolean from class org.reptile.Reptile to public equals(obj Object) : boolean from class org.reptile.TurtleTerrarium
0e193b7d02902c6f2abf7c88eebe937d1ac5fc51;Push Down Method;Push Down Method	public hashCode() : int from class org.reptile.AnimalMarilho to public hashCode() : int from class org.reptile.Reptile
b61e75b773f48e680f5bb7362445ba0642c2ee91;Push Down Method;Push Down Method	public equals(obj Object) : boolean from class org.reptile.AnimalMarilho to public equals(obj Object) : boolean from class org.reptile.Reptile
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected age : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected name : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected spead : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected action : String from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected age : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected name : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected spead : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected action : String from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected age : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected name : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected spead : int from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Attribute;Pull Up Attribute	protected action : String from class org.reptile.Reptile to class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public getName() : int from class org.reptile.Reptile to public getName() : int from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public setName(name int) : void from class org.reptile.Reptile to public setName(name int) : void from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public getSpead() : int from class org.reptile.Reptile to public getSpead() : int from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public setSpead(spead int) : void from class org.reptile.Reptile to public setSpead(spead int) : void from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public getAction() : String from class org.reptile.Reptile to public getAction() : String from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public setAction(action String) : void from class org.reptile.Reptile to public setAction(action String) : void from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public hashCode() : int from class org.reptile.Reptile to public hashCode() : int from class org.reptile.AnimalMarilho
6bbfab9e7051362aad9d993f5f6a013b73e75117;Pull Up Method;Pull Up Method	public equals(obj Object) : boolean from class org.reptile.Reptile to public equals(obj Object) : boolean from class org.reptile.AnimalMarilho
bbd8dc082406a950adf73b7211c887bfab6480f1;Extract Superclass;Extract Superclass	org.reptile.AnimalMarilho from classes [org.reptile.Reptile]
9803046111744317efaa65a83e65ce8ceb0c15c2;Push Down Method;Push Down Method	public getAge() : int from class org.reptile.Reptile to public getAge() : int from class org.reptile.TurtleMarinha
9803046111744317efaa65a83e65ce8ceb0c15c2;Push Down Method;Push Down Method	public getAge() : int from class org.reptile.Reptile to public getAge() : int from class org.reptile.TurtleTerrarium
9803046111744317efaa65a83e65ce8ceb0c15c2;Push Down Method;Push Down Method	public setAge(age int) : void from class org.reptile.Reptile to public setAge(age int) : void from class org.reptile.TurtleMarinha
9803046111744317efaa65a83e65ce8ceb0c15c2;Push Down Method;Push Down Method	public setAge(age int) : void from class org.reptile.Reptile to public setAge(age int) : void from class org.reptile.TurtleTerrarium
a1b3a91d1a423f2b7360e009e47f30aedb663b6f;Rename Class;Rename Class	org.reptile.Turtle renamed to org.reptile.TurtleMarinha
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Extract Superclass;Extract Superclass	org.reptile.Reptile from classes [org.reptile.Turtle]
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public getAge() : int from class org.reptile.Turtle to public getAge() : int from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public setAge(age int) : void from class org.reptile.Turtle to public setAge(age int) : void from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public getName() : int from class org.reptile.Turtle to public getName() : int from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public setName(name int) : void from class org.reptile.Turtle to public setName(name int) : void from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public getSpead() : int from class org.reptile.Turtle to public getSpead() : int from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public setSpead(spead int) : void from class org.reptile.Turtle to public setSpead(spead int) : void from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public getAction() : String from class org.reptile.Turtle to public getAction() : String from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public setAction(action String) : void from class org.reptile.Turtle to public setAction(action String) : void from class org.reptile.Reptile
